Date,DataType,Observer,Experiment,Taxon,SampleSize,Location,SiteLong,SiteLat,DataStatus
25-Jul-25,ecophysiological,PD,HKDT,craneflies,3,Zackenberg,74.468611,-20.574444,entered
27-Jul-25,ecophysiological,PD,HKDT,craneflies,1,Zackenberg,74.468611,-20.574444,entered
30-Jul-25,ecophysiological,PD,HKDT,craneflies,3,Zackenberg,74.468611,-20.574444,entered
1-Aug-25,ecophysiological,PD,HKDT,empids,6,Zackenberg,74.468611,-20.574444,entered
3-Aug-25,ecophysiological,PD,HKDT,empids,2,Zackenberg,74.468611,-20.574444,entered
4-Aug-25,ecophysiological,PD,HKDT,empids,1,Zackenberg,74.468611,-20.574444,entered
1-Aug-25,ecophysiological,PD,HKDT,mosquito,1,Zackenberg,74.468611,-20.574444,entered
25-Jul-25,ecophysiological,PD,HKDT,mosquito,4,Zackenberg,74.468611,-20.574444,entered
3-Aug-25,ecophysiological,PD,HKDT,mosquito,53,Zackenberg,74.468611,-20.574444,entered
30-Jul-25,ecophysiological,PD,HKDT,mosquito,21,Zackenberg,74.468611,-20.574444,entered
31-Jul-25,ecophysiological,PD,HKDT,mosquito,17,Zackenberg,74.468611,-20.574444,entered
1-Aug-25,ecophysiological,PD,HKDT,muscids,4,Zackenberg,74.468611,-20.574444,entered
10-Jul-25,ecophysiological,PD,HKDT,muscids,12,Zackenberg,74.468611,-20.574444,entered
19-Jul-25,ecophysiological,PD,HKDT,muscids,10,Zackenberg,74.468611,-20.574444,entered
23-Jul-25,ecophysiological,PD,HKDT,muscids,1,Zackenberg,74.468611,-20.574444,entered
24-Jul-25,ecophysiological,PD,HKDT,muscids,15,Zackenberg,74.468611,-20.574444,entered
26-Jul-25,ecophysiological,PD,HKDT,muscids,5,Zackenberg,74.468611,-20.574444,entered
3-Aug-25,ecophysiological,PD,HKDT,muscids,1,Zackenberg,74.468611,-20.574444,entered
31-Jul-25,ecophysiological,PD,HKDT,muscids,3,Zackenberg,74.468611,-20.574444,entered
4-Aug-25,ecophysiological,PD,HKDT,muscids,2,Zackenberg,74.468611,-20.574444,entered
1-Aug-25,ecophysiological,PD,HKDT,wolf_spider,9,Zackenberg,74.468611,-20.574444,entered
10-Jul-25,ecophysiological,PD,HKDT,wolf_spider,3,Zackenberg,74.468611,-20.574444,entered
12-Jul-25,ecophysiological,PD,HKDT,wolf_spider,1,Zackenberg,74.468611,-20.574444,entered
14-Jul-25,ecophysiological,PD,HKDT,wolf_spider,5,Zackenberg,74.468611,-20.574444,entered
19-Jul-25,ecophysiological,PD,HKDT,wolf_spider,16,Zackenberg,74.468611,-20.574444,entered
22-Jul-25,ecophysiological,PD,HKDT,wolf_spider,12,Zackenberg,74.468611,-20.574444,entered
23-Jul-25,ecophysiological,PD,HKDT,wolf_spider,5,Zackenberg,74.468611,-20.574444,entered
26-Jul-25,ecophysiological,PD,HKDT,wolf_spider,4,Zackenberg,74.468611,-20.574444,entered
27-Jul-25,ecophysiological,PD,HKDT,wolf_spider,8,Zackenberg,74.468611,-20.574444,entered
3-Aug-25,ecophysiological,PD,HKDT,wolf_spider,3,Zackenberg,74.468611,-20.574444,entered
30-Jul-25,ecophysiological,PD,HKDT,wolf_spider,11,Zackenberg,74.468611,-20.574444,entered
8-Jul-25,ecophysiological,PD,HKDT,wolf_spider,11,Zackenberg,74.468611,-20.574444,entered
